;SXXP Index
2019-05-31;369.06
2019-06-03;370.49
2019-06-04;372.67
2019-06-05;374.08
2019-06-06;374.01
2019-06-07;377.48
2019-06-10;378.27
2019-06-11;380.89
2019-06-12;379.74
2019-06-13;380.33
2019-06-14;378.81
2019-06-17;378.46
2019-06-18;384.78
2019-06-19;384.77
2019-06-20;386.16
2019-06-21;384.76
2019-06-24;383.79
2019-06-25;383.4
2019-06-26;382.2
2019-06-27;382.21
2019-06-28;384.87
2019-07-01;387.87
2019-07-02;389.29
2019-07-03;392.58
2019-07-04;392.94
2019-07-05;390.11
2019-07-08;389.9
2019-07-09;387.92
2019-07-10;387.15
2019-07-11;386.7
2019-07-12;386.85
2019-07-15;387.75
2019-07-16;389.1
2019-07-17;387.66
2019-07-18;386.8
2019-07-19;387.25
2019-07-22;387.74
2019-07-23;391.54
2019-07-24;391.73
2019-07-25;389.52
2019-07-26;390.73
2019-07-29;390.85
2019-07-30;385.11
2019-07-31;385.77
2019-08-01;387.68
2019-08-02;378.15
2019-08-05;369.43
2019-08-06;367.71
2019-08-07;368.6
2019-08-08;374.71
2019-08-09;371.56
2019-08-12;370.41
2019-08-13;372.4
2019-08-14;366.16
2019-08-15;365.09
2019-08-16;369.63
2019-08-19;373.86
2019-08-20;371.3
2019-08-21;375.8
2019-08-22;374.29
2019-08-23;371.36
2019-08-26;371.28
2019-08-27;373.62
2019-08-28;372.86
2019-08-29;376.74
2019-08-30;379.48
2019-09-02;380.69
2019-09-03;379.81
2019-09-04;383.18
2019-09-05;385.92
2019-09-06;387.14
2019-09-09;386.06
2019-09-10;386.44
2019-09-11;389.71
2019-09-12;390.48
2019-09-13;391.79
2019-09-16;389.53
2019-09-17;389.33
2019-09-18;389.41
2019-09-19;391.8
2019-09-20;392.95
2019-09-23;389.8
2019-09-24;389.84
2019-09-25;387.59
2019-09-26;389.95
2019-09-27;391.79
2019-09-30;393.15
2019-10-01;387.99
2019-10-02;377.52
2019-10-03;377.46
2019-10-04;380.22
2019-10-07;382.91
2019-10-08;378.71
2019-10-09;380.3
2019-10-10;382.76
2019-10-11;391.61
2019-10-14;389.69
2019-10-15;394.02
2019-10-16;393.46
2019-10-17;393.08
2019-10-18;391.84
2019-10-21;394.22
2019-10-22;394.59
2019-10-23;395.03
2019-10-24;397.37
2019-10-25;398.01
2019-10-28;398.99
2019-10-29;398.37
2019-10-30;398.7
2019-10-31;396.75
2019-11-01;399.43
2019-11-04;403.41
2019-11-05;404.23
2019-11-06;405.07
2019-11-07;406.56
2019-11-08;405.42
2019-11-11;405.34
2019-11-12;406.9
2019-11-13;405.86
2019-11-14;404.41
2019-11-15;406.04
2019-11-18;405.99
2019-11-19;405.5
2019-11-20;403.82
2019-11-21;402.22
2019-11-22;403.98
2019-11-25;408.09
2019-11-26;408.49
2019-11-27;409.81
2019-11-28;409.25
2019-11-29;407.43
2019-12-02;401.01
2019-12-03;398.48
2019-12-04;403.19
2019-12-05;402.66
2019-12-06;407.35
2019-12-09;406.39
2019-12-10;405.34
2019-12-11;406.22
2019-12-12;407.58
2019-12-13;412.02
2019-12-16;417.75
2019-12-17;414.92
2019-12-18;414.38
2019-12-19;415.07
2019-12-20;418.4
2019-12-23;418.27
2019-12-24;418.86
2019-12-25;418.86
2019-12-26;418.86
2019-12-27;419.74
2019-12-30;416.17
2019-12-31;415.84
