DATES;TICKER
01/01/2019;1COV GY
01/01/2019;A2A IM
01/01/2019;AAK SS
01/01/2019;AAL LN
01/01/2019;AALB NA
01/01/2019;ABBN SE
01/01/2019;ABF LN
01/01/2019;ABI BB
01/01/2019;ABN NA
01/01/2019;AC FP
01/01/2019;ACA FP
01/01/2019;ACKB BB
01/01/2019;ACS SQ
01/01/2019;AD NA
01/01/2019;ADEN SE
01/01/2019;ADM LN
01/01/2019;ADP FP
01/01/2019;ADS GY
01/01/2019;ADYEN NA
01/01/2019;AED BB
01/01/2019;AENA SQ
01/01/2019;AF FP
01/01/2019;AFX GY
01/01/2019;AGK LN
01/01/2019;AGN NA
01/01/2019;AGS BB
01/01/2019;AHT LN
01/01/2019;AI FP
01/01/2019;AIBG ID
01/01/2019;AIR FP
01/01/2019;AKE FP
01/01/2019;AKERBP NO
01/01/2019;AKZA NA
01/01/2019;ALC SE
01/01/2019;ALFA SS
01/01/2019;ALLN SE
01/01/2019;ALO FP
01/01/2019;ALT FP
01/01/2019;ALV GY
01/01/2019;AM FP
01/01/2019;AMBUB DC
01/01/2019;AMP IM
01/01/2019;AMS SE
01/01/2019;AMS SQ
01/01/2019;AMUN FP
01/01/2019;ANDR AV
01/01/2019;ANTO LN
01/01/2019;AOX GY
01/01/2019;ARGX BB
01/01/2019;ASHM LN
01/01/2019;ASM NA
01/01/2019;ASML NA
01/01/2019;ASRNL NA
01/01/2019;ASSAB SS
01/01/2019;AT1 GY
01/01/2019;ATC NA
01/01/2019;ATCOA SS
01/01/2019;ATE FP
01/01/2019;ATL IM
01/01/2019;ATO FP
01/01/2019;AUTO LN
01/01/2019;AV/ LN
01/01/2019;AVST LN
01/01/2019;AVV LN
01/01/2019;AZN LN
01/01/2019;B4B GY
01/01/2019;BA/ LN
01/01/2019;BAER SE
01/01/2019;BALDB SS
01/01/2019;BALN SE
01/01/2019;BAMI IM
01/01/2019;BARC LN
01/01/2019;BARN SE
01/01/2019;BAS GY
01/01/2019;BATS LN
01/01/2019;BAYN GY
01/01/2019;BBOX LN
01/01/2019;BBVA SQ
01/01/2019;BC8 GY
01/01/2019;BDEV LN
01/01/2019;BEAN SE
01/01/2019;BEI GY
01/01/2019;BEZ LN
01/01/2019;BHP LN
01/01/2019;BIM FP
01/01/2019;BIRG ID
01/01/2019;BKG LN
01/01/2019;BKIA SQ
01/01/2019;BKT SQ
01/01/2019;BLND LN
01/01/2019;BME LN
01/01/2019;BME SQ
01/01/2019;BMW GY
01/01/2019;BN FP
01/01/2019;BNP FP
01/01/2019;BNR GY
01/01/2019;BNZL LN
01/01/2019;BOL FP
01/01/2019;BOL SS
01/01/2019;BOSS GY
01/01/2019;BP/ LN
01/01/2019;BRBY LN
01/01/2019;BT/A LN
01/01/2019;BVI FP
01/01/2019;BVIC LN
01/01/2019;BWY LN
01/01/2019;CA FP
01/01/2019;CABK SQ
01/01/2019;CAP FP
01/01/2019;CARLB DC
01/01/2019;CAST SS
01/01/2019;CBG LN
01/01/2019;CBK GY
01/01/2019;CCH LN
01/01/2019;CCL LN
01/01/2019;CDI FP
01/01/2019;CDR PW
01/01/2019;CFR SE
01/01/2019;CHR DC
01/01/2019;CINE LN
01/01/2019;CLN SE
01/01/2019;CLNX SQ
01/01/2019;CMBN SE
01/01/2019;CNA LN
01/01/2019;CNHI IM
01/01/2019;CNP FP
01/01/2019;CO FP
01/01/2019;COB LN
01/01/2019;COFB BB
01/01/2019;COL SQ
01/01/2019;COLOB DC
01/01/2019;COLR BB
01/01/2019;CON GY
01/01/2019;COV FP
01/01/2019;CPG LN
01/01/2019;CPI LN
01/01/2019;CPR IM
01/01/2019;CRDA LN
01/01/2019;CRH ID
01/01/2019;CS FP
01/01/2019;CSGN SE
01/01/2019;CTEC LN
01/01/2019;DAI GY
01/01/2019;DANSKE DC
01/01/2019;DB1 GY
01/01/2019;DBK GY
01/01/2019;DCC LN
01/01/2019;DEC FP
01/01/2019;DEMANT DC
01/01/2019;DG FP
01/01/2019;DGE LN
01/01/2019;DHER GY
01/01/2019;DIA IM
01/01/2019;DIM FP
01/01/2019;DLG GY
01/01/2019;DLG LN
01/01/2019;DLN LN
01/01/2019;DNB NO
01/01/2019;DOM SS
01/01/2019;DPH LN
01/01/2019;DPW GY
01/01/2019;DSM NA
01/01/2019;DSV DC
01/01/2019;DSY FP
01/01/2019;DTE GY
01/01/2019;DUFN SE
01/01/2019;DWNI GY
01/01/2019;EBS AV
01/01/2019;ECM LN
01/01/2019;EDEN FP
01/01/2019;EDF FP
01/01/2019;EDP PL
01/01/2019;EKTAB SS
01/01/2019;EL FP
01/01/2019;ELE SQ
01/01/2019;ELI BB
01/01/2019;ELIS FP
01/01/2019;ELISA FH
01/01/2019;ELUXB SS
01/01/2019;EMG LN
01/01/2019;EMSN SE
01/01/2019;EN FP
01/01/2019;ENEL IM
01/01/2019;ENG SQ
01/01/2019;ENGI FP
01/01/2019;ENI IM
01/01/2019;ENX FP
01/01/2019;EO FP
01/01/2019;EOAN GY
01/01/2019;EPIA SS
01/01/2019;EQNR NO
01/01/2019;EQT SS
01/01/2019;ERF FP
01/01/2019;ERICB SS
01/01/2019;ESSITYB SS
01/01/2019;ETL FP
01/01/2019;EVD GY
01/01/2019;EVK GY
01/01/2019;EVO SS
01/01/2019;EVR LN
01/01/2019;EVT GY
01/01/2019;EXO IM
01/01/2019;EXPN LN
01/01/2019;EZJ LN
01/01/2019;FABG SS
