TICKER;QTE;COURS;DATE_PRTF
ALLN SE;104;191,4;2019-12-01
AOX GY;1206;16,58;2019-12-01
HELN SE;147;136,5;2019-12-01
SPSN SE;189;105,6;2019-12-01
COFB BB;149;134,2;2019-12-01
UTG LN;16;1251;2019-12-01
NOVN SE;217;92,06;2019-12-01
SCMN SE;39;517,6;2019-12-01
ZURN SE;51;392,3;2019-12-01
PSPN SE;154;130,1;2019-12-01
DTE GY;1312;15,24;2019-12-01
GALE SE;333;60,15;2019-12-01
ELISA FH;412;48,51;2019-12-01
COB LN;126;158,2;2019-12-01
WDP BB;872;22,94;2019-12-01
HNR1 GY;119;168,5;2019-12-01
MUV2 GY;77;260,6;2019-12-01
ORK NO;224;89,26;2019-12-01
SLHN SE;40;495,8;2019-12-01
AT1 GY;2538;7,88;2019-12-01
SGRO LN;22;894;2019-12-01
SSE LN;16;1279,01;2019-12-01
GEBN SE;37;536,8;2019-12-01
ROG SE;65;308,2;2019-12-01
COV FP;199;100,4;2019-12-01
GPOR LN;24;830,8;2019-12-01
DLN LN;5;3698;2019-12-01
SCR FP;513;38,99;2019-12-01
ACKB BB;147;136,5;2019-12-01
ENEL IM;2981;6,71;2019-12-01
NG/ LN;22;889,7;2019-12-01
ELI BB;267;75;2019-12-01
ALO FP;505;39,58;2019-12-01
IBE SQ;2283;8,76;2019-12-01
ELE SQ;833;24;2019-12-01
NESN SE;192;103,92;2019-12-01
CMBN SE;192;104,1;2019-12-01
BARN SE;10;1985,6;2019-12-01
BEI GY;189;105,85;2019-12-01
EDP PL;5450;3,67;2019-12-01
PGHN SE;24;843,2;2019-12-01
ING FP;206;96,86;2019-12-01
AKZA NA;230;86,92;2019-12-01
RBREW DC;33;610,4;2019-12-01
AED BB;180;111;2019-12-01
AGS BB;367;54,48;2019-12-01
NEXI IM;1869;10,7;2019-12-01
WIE AV;803;24,9;2019-12-01
SCHA NO;79;252,5;2019-12-01
FHZN SE;113;177,3;2019-12-01
